,Color,RED,GREEN,BLUE
0,1,124,10,2
1,1,204,0,0
2,1,203,65,84
3,1,227,0,34
4,1,255,8,0
5,1,255,0,56
6,1,224,60,49
7,1,170,56,30
8,1,203,109,81
9,1,255,64,64
10,1,179,27,27
11,1,164,0,0
12,1,194,59,34
13,1,139,0,0
14,1,215,10,83
15,1,102,66,77
16,1,128,24,24
17,1,255,40,0
18,1,206,32,41
19,1,205,92,92
20,1,233,116,81
21,1,226,6,44
22,1,187,51,133
23,1,121,68,59
24,1,199,21,133
25,1,174,12,0
26,1,255,69,0
27,1,153,0,0
28,1,219,112,147
29,1,219,112,147
30,1,255,105,97
31,1,204,51,51
32,1,255,53,94
33,1,255,0,0
34,1,165,42,42
35,1,134,1,17
36,1,242,0,60
37,1,196,2,51
38,1,255,83,73
39,1,237,28,36
40,1,254,39,18
41,1,199,21,133
42,1,171,78,82
43,1,209,0,86
44,1,155,17,30
45,1,218,44,67
46,1,253,14,53
47,1,124,72,72
48,1,217,0,76
49,1,174,32,41
50,1,200,8,21
51,7,164,198,57
52,7,141,182,0
53,7,75,83,32
54,7,13,152,186
55,7,0,106,78
56,7,102,255,0
57,7,0,66,37
58,7,0,107,60
59,7,30,77,43
60,7,120,134,107
61,7,0,204,153
62,7,47,132,124
63,7,1,50,32
64,7,26,36,33
65,7,85,107,47
66,7,3,192,60
67,7,143,188,143
68,7,23,114,69
69,7,0,112,60
70,7,0,75,73
71,7,0,255,0
72,7,79,121,66
73,7,1,68,33
74,7,34,139,34
75,7,0,255,0
76,7,28,172,120
77,7,0,128,0
78,7,0,168,119
79,7,0,159,107
80,7,0,165,80
81,7,102,176,50
82,7,173,255,47
83,7,0,255,127
84,7,73,121,107
85,7,53,94,59
86,7,19,136,8
87,7,0,144,0
88,7,41,171,135
89,7,76,187,23
90,7,8,120,48
91,7,169,186,157
92,7,124,252,0
93,7,144,238,144
94,7,32,178,170
95,7,50,205,50
96,7,0,255,0
97,7,25,89,5
98,7,28,53,45
99,7,60,179,113
100,7,0,250,154
101,7,0,73,83
102,7,152,255,152
103,7,173,223,173
104,7,24,69,59
105,7,42,128,0
106,7,57,255,20
107,7,5,144,51
108,7,0,128,0
109,7,0,102,0
110,7,152,251,152
111,7,80,200,120
112,7,119,221,119
113,7,0,166,147
114,7,18,53,36
115,7,1,121,111
116,7,65,72,51
117,7,0,86,63
118,7,80,125,42
119,7,118,255,122
120,7,46,139,87
121,7,0,158,96
122,7,0,255,127
123,7,208,240,192
124,7,0,130,127
125,7,160,214,180
126,7,60,208,112
127,7,1,68,33
128,7,154,205,50
129,8,93,138,168
130,8,0,48,143
131,8,114,160,193
132,8,240,248,255
133,8,137,207,240
134,8,161,202,241
135,8,33,171,205
136,8,188,212,230
137,8,172,229,238
138,8,0,0,255
139,8,162,162,208
140,8,31,117,254
141,8,102,153,204
142,8,13,152,186
143,8,0,147,175
144,8,0,135,189
145,8,51,51,153
146,8,2,71,254
147,8,18,97,128
148,8,138,43,226
149,8,0,149,182
150,8,0,112,255
151,8,95,158,160
152,8,163,193,173
153,8,153,186,221
154,8,6,42,120
155,8,0,123,167
156,8,73,151,208
157,8,42,82,190
158,8,0,122,165
159,8,155,221,255
160,8,100,149,237
161,8,0,0,139
162,8,83,104,120
163,8,0,65,106
164,8,0,51,102
165,8,119,158,203
166,8,0,51,153
167,8,72,61,139
168,8,0,191,255
169,8,30,144,255
170,8,0,0,156
171,8,16,52,166
172,8,125,249,255
173,8,150,200,162
174,8,0,114,187
175,8,68,108,207
176,8,0,127,191
177,8,0,35,149
178,8,0,47,167
179,8,204,204,255
180,8,173,216,230
181,8,147,204,234
182,8,135,206,250
183,8,108,160,220
184,8,96,80,220
185,8,115,194,251
186,8,0,0,205
187,8,3,80,150
188,8,0,103,165
189,8,123,104,238
190,8,25,25,112
191,8,115,169,194
192,8,0,0,128
193,8,164,221,237
194,8,0,119,190
195,8,0,33,71
196,8,39,59,226
197,8,175,238,238
198,8,171,205,239
199,8,150,222,209
200,8,174,198,207
201,8,28,57,187
202,8,0,15,137
203,8,176,224,230
204,8,0,49,83
205,8,0,35,135
206,8,8,146,208
207,8,0,204,204
208,8,0,35,102
209,8,65,105,225
210,8,0,103,165
211,8,0,105,148
212,8,135,206,235
213,8,106,90,205
214,8,0,51,153
215,8,35,41,122
216,8,70,130,180
217,8,54,117,136
218,8,10,186,181
219,8,0,115,207
220,8,65,125,193
221,8,0,255,239
222,8,0,51,170
223,8,83,104,149
224,8,65,102,245
225,8,91,146,229
226,8,0,79,152
227,8,50,74,178
228,8,162,173,208
229,8,15,77,146
