Color,Red,Green,Blue
1,255,27,10
1,252,30,23
1,250,37,10
1,235,10,10
1,242,24,24
1,180,15,15
1,200,39,15
1,209,25,25
1,255,75,20
1,240,73,18
1,247,100,27
1,245,127,47
1,255,120,3
1,242,114,12
1,237,90,0
1,212,180,51
1,219,176,57
1,207,166,54
1,207,178,64
1,206,182,64
1,207,86,62
1,240,87,69
1,240,117,108
1,240,136,120
1,227,123,116
1,227,120,184
1,227,93,169
1,255,120,205
1,224,106,180
1,224,189,13
7,250,215,15
1,255,248,59
7,227,204,52
1,240,225,60
7,247,229,67
7,105,247,35
7,88,207,29
7,66,156,22
7,42,255,18
7,33,201,14
7,28,171,12
7,34,171,43
7,109,212,70
7,8,212,15
7,10,255,10
8,13,255,255
8,12,232,232
8,10,201,210
8,57,217,230
8,108,209,224
8,56,174,224
8,25,144,244
8,28,164,255
8,3,154,255
8,42,122,201
8,37,94,250
8,8,80,250
8,84,107,222
8,52,33,225
6,255,255,255
6,255,245,245
6,240,255,254
6,250,245,240
6,245,246,252
8,0,0,0
8,5,9,1
8,2,6,4
1,0,7,5
8,13,12,13
8,8,5,9
